Name of the District,Name of the Project,Taluk Name ,Approved Project area for treatment (in ha)
Bagalakot,Bagalkot -WDC-1/2021-22,Hunagund,5500
Bagalakot,Bagalkot -WDC-2/2022-23,Badami,2000
Bengaluru,Bengaluru-WDC-1/2021-22,Nelamangala,3489.52
Belagavi,Belagavi-WDC-1/2021-22,Ramadurga,6095
Belagavi,Belagavi-WDC-2/2021-22,Bailahongal,5920
Belagavi,Belagavi -WDC-3/2021-22,Chikkodi,6195
Belagavi,Belagavi -WDC-4/2022-23,Nippani,3500
Ballari,Ballari-WDC-1/2021-22,Kottur,5001
Ballari,Ballari-WDC-2/2021-22,Ballari,5000
Bidar,Bidar-WDC-1/2021-22,Aurad,5024.3
Bidar,Bidar-WDC-2/2021-22,Basavakalyana,5093
Vijayapura,Vijayapura-WDC-1/2021-22,Sindagi,4100
Vijayapura,Vijayapura-WDC-2/2021-22,Indi,5900
Chamarajanagar,Chamarajanagar-WDC-1/2021-22,Gundlupet,5322.09
Chamarajanagar,Chamarajanagar-WDC-2/2021-22,Kollegala,5103
Chikkaballapura,Chikkaballapura-WDC-1/2021-22,Chikkaballapura,3960.77
Chikkaballapura,Chikkaballapura-WDC-2/2021-22,Chintamani,4500
Chikkamagaluru,Chikkamagaluru-WDC-1/2021-22,Ajjampura,4466.28
Chikkamagaluru,Chikkamagaluru-WDC-2/2021-22,Kadur,6561.53
Chitradurga,Chitradurga-WDC-1/2021-22,Hiriyur,5240
Chitradurga,Chitradurga-WDC-2/2021-22,Holalkere,5582
Dakshina Kannada,Dakshina Kannada-WDC-1/2021-22,Belthangady,4186.2
Dakshina Kannada,Dakshina Kannada-WDC-2/2021-22,Bantwal,5025
Davangere,Davangere-WDC-1/2021-22,Jagaluru,5340
Davangere,Davangere-WDC-2/2021-22,Channagiri,6413
Dharwad,Dharwad-WDC-1/2021-22,Dharwad,4598
Gadag,Gadag-WDC-1/2021-22,Mundaragi,3100
Kalburgi,Kalburgi-WDC-1/2021-22,Aland,5000
Kalburgi,Kalburgi-WDC-2/2021-22,Jewaragi,2296
Hassan,Hassan-WDC-1/2021-22,Arasikere,6214.32
Hassan,Hassan-WDC-2/2021-22,Belur,5573.47
Haveri,Haveri-WDC-1/2021-22,Haveri,4404.74
Haveri,Haveri-WDC-2/2021-22,Hangal,4515.25
Haveri,Haveri-WDC-3/2021-22,Shiggaon,4633.68
Haveri,Haveri-WDC-4/2021-22,Byadagi,4025.13
Haveri,Haveri-WDC-5/2021-22,Rattihalli,4355.83
Haveri,Haveri-WDC-6/2021-22,Hirekerur,4191
Haveri,Haveri-WDC-7/2021-22,Ranibennur,6658
Kodagu,Kodagu-WDC-1/2021-22,Somavarpet,4818.61
Kolar,Kolar-WDC-1/2021-22,Mulabagilu,3442.73
Kolar,Kolar-WDC-2/2021-22,Srinivasapura,4327.57
Koppal,Koppal-WDC-1/2021-22,Yelaburga,5728.15
Mandya,Mandya-WDC-1/2021-22,Nagamangala,4391.06
Mandya,Mandya-WDC-2/2022-23,Mandya,3450.19
Mandya,Mandya-WDC-3/2024-25,Malavalli,5048.12
Mysuru,Mysuru-WDC-1/2021-22,H.D.Kote,4661.63
Mysuru,Mysuru-WDC-2/2021-22,Periyapatna,4546.53
Raichur,Raichur-WDC-1/2021-22,Raichur,3185
Raichur,Raichur-WDC-2/2021-22,Sindhanur,4220
Ramanagara,Ramanagara-WDC-1/2021-22,Magadi,4222.94
Ramanagara,Ramanagara-WDC-2/2022-23,Channapatna,3002.99
Shivamogga,Shivamogga-WDC-1/2021-22,Soraba,4226
Shivamogga,Shivamogga-WDC-2/2021-22,Shikaripura,4990.5
Tumkur,Tumkur-WDC-1/2021-22,Chikkanayakanahalli,6577.81
Tumkur,Tumkur-WDC-2/2021-22,Pavagada,5125.79
Udupi,Udupi-WDC-1/2021-22,Brahmavara,4749.47
Udupi,Udupi-WDC-2/2021-22,Karkala,4197.29
Udupi,Udupi-WDC-3/2021-22,Kundapura,3606.23
Uttara Kannada,Uttarakannada-WDC-1/2021-22,Kumta,3500
Uttara Kannada,Uttarakannada-WDC-2/2022-23,Sirsi,3046.82
Yadgir,Yadgir-WDC-1/2021-22,Shorapura,6383.14
Yadgir,Yadgir-WDC-2/2021-22,Shahapur,5436.03
Yadgir,Yadgir-WDC-3/2021-22,Yadagir,4086.41
